codcfo,valorm2
00000703,91.460000
00000693,91.460000
00000694,91.460000
00000695,91.460000
00000697,91.460000
00000669,91.460000
00000678,91.460000
00000682,91.460000
00000687,91.460000
00000534,91.460000
00000820,91.460000
00000788,91.460000
00000870,91.460000
00000822,91.460000
00010804,91.460000
00010370,91.460000
00009333,91.460000
00013401,91.460000
00016311,91.460000
00024592,91.460000
00024049,91.460000
00016722,91.460000
00017013,91.460000
00019537,91.460000
00023204,91.460000
00022135,91.460000
00002015,91.470000
00013495,91.590000
00003243,91.920000
00000524,92.220000
00000563,92.220000
00000623,92.230000
00014603,92.260000
00003251,92.610000
00000708,92.830000
00006898,92.930000
00008207,92.930000
00003539,93.000000
00000684,93.000000
00000699,93.000000
00000824,93.000000
00003031,93.140000
00000698,93.190000
00000696,93.190000
00003307,93.250000
00000235,93.270000
00001236,93.270000
00000615,93.330000
00000528,93.330000
00003252,93.330000
00003249,93.330000
00003264,93.330000
00003277,93.330000
00005206,93.330000
00018497,93.330000
00003214,93.500000
00003119,93.650000
00014727,93.660000
00000379,93.750000
00003233,93.900000
00013952,93.910000
00020529,93.930000
00003382,94.180000
00002405,94.200000
00014748,94.320000
00001473,94.700000
00001475,94.700000
00000796,94.830000
00000749,94.860000
00003792,94.860000
00013348,94.860000
00019340,94.860000
00000566,94.930000
00000397,94.960000
00000838,95.020000
00000606,95.220000
00000547,95.300000
00003132,95.300000
00000840,95.450000
00019226,95.500000
00018371,95.560000
00018406,95.560000
00000562,95.560000
00000600,95.560000
00000586,95.560000
00000589,95.560000
00000591,95.560000
00005705,95.560000
00005048,95.610000
00000834,95.710000
00000963,95.720000
00020834,95.910000
00005049,95.960000
00005212,96.040000
00000725,96.280000
00000770,96.330000
00000719,96.670000
00001655,96.670000
00004731,96.670000
00003274,96.670000
00003275,96.670000
00003253,96.670000
00003258,96.670000
00003259,96.670000
00003260,96.670000
00003280,96.670000
00020332,96.670000
00001132,96.940000
00019957,97.040000
00000441,97.300000
00018780,97.410000
00003348,97.430000
00015951,97.750000
00003172,97.780000
00005213,97.780000
00005214,97.780000
00001378,97.780000
00001410,97.780000
00000601,97.860000
00000751,98.000000
00000868,98.000000
00005012,98.060000
00000799,98.260000
00000801,98.260000
00000802,98.260000
00000784,98.260000
00000814,98.260000
00000812,98.260000
00001156,98.260000
00000738,98.260000
00000742,98.260000
00000774,98.260000
00013243,98.260000
00000440,98.320000
00000620,98.550000
00010547,98.570000
00000852,98.600000
00019006,98.600000
00000291,98.890000
00000240,98.930000
00000976,98.970000
00000283,99.010000
00000276,99.010000
00000363,99.010000
00000307,99.010000
00000326,99.010000
00000321,99.010000
00004885,99.010000
00009466,99.010000
00003241,99.040000
00010433,99.050000
00017398,99.100000
00001497,99.240000
00005217,99.260000
00000222,99.320000
00000246,99.370000
00000255,99.500000
00001213,99.670000
00001214,99.670000
00001219,99.670000
00001220,99.670000
00001166,99.670000
00001199,99.670000
00001267,99.670000
00001288,99.670000
00000855,99.670000
00000833,99.670000
00000805,99.670000
00000819,99.670000
00000878,99.670000
00004847,99.670000
00004532,99.670000
00003064,99.670000
00003065,99.670000
00014011,99.670000
00017286,99.670000
00019427,99.670000
00000877,99.710000
00004796,99.800000
00000560,99.870000
00000399,100.000000
00000415,100.000000
00000546,100.000000
00000262,100.000000
00000269,100.000000
00000270,100.000000
00000277,100.000000
00000275,100.000000
00000284,100.000000
00000285,100.000000
00000288,100.000000
00000289,100.000000
00000318,100.000000
00000309,100.000000
00000320,100.000000
00000313,100.000000
00000314,100.000000
00000315,100.000000
00000316,100.000000
00000300,100.000000
00000301,100.000000
00000302,100.000000
00000371,100.000000
00000356,100.000000
00005051,100.000000
00005323,100.000000
00003089,100.000000
00003048,100.000000
00003023,100.000000
00003270,100.000000
00003247,100.000000
00003352,100.000000
00003398,100.000000
00003385,100.000000
00003393,100.000000
00003394,100.000000
00003377,100.000000
00003378,100.000000
00003370,100.000000
00003371,100.000000
00003372,100.000000
00003373,100.000000
00003374,100.000000
00005953,100.000000
00006344,100.000000
00014751,100.000000
00014754,100.000000
00014627,100.000000
00016316,100.000000
00010177,100.000000
00008376,100.000000
00019461,100.000000
00019150,100.000000
00017127,100.000000
00018161,100.000000
00020371,100.000000
00020373,100.000000
00020495,100.000000
00020497,100.000000
00020252,100.000000
00020576,100.000000
00020595,100.000000
00021298,100.000000
00021040,100.000000
00021041,100.000000
00022240,100.000000
00021957,100.000000
00021999,100.000000
00022439,100.000000
00023256,100.000000
00023257,100.000000
00022923,100.000000
00022948,100.000000
00022978,100.000000
00023609,100.000000
00023645,100.000000
00024081,100.000000
00024108,100.000000
00024514,100.000000
00024658,100.000000
00026738,100.000000
00025653,100.000000
00004918,100.170000
00000462,100.350000
00001529,100.560000
00000651,100.650000
00004927,100.810000
00018298,100.810000
00010035,100.890000
00000582,100.980000
00000233,100.990000
00000643,101.200000
00000403,101.200000
00002729,101.260000
00001188,101.330000
00000216,101.350000
00017399,101.500000
00020570,101.660000
00020358,101.660000
00001287,101.660000
00000821,101.660000
00000811,101.660000
00000825,101.660000
00000857,101.660000
00000859,101.660000
00005513,101.660000
00006809,101.660000
00000264,102.000000
00000348,102.000000
00000410,102.000000
00000419,102.000000
00024378,102.000000
00000532,102.220000
00000319,102.220000
00005558,102.220000
00003080,102.340000
00000273,102.400000
00000776,102.420000
00000013,102.470000
00016947,102.600000
00005354,102.640000
00000445,102.920000
00001804,103.010000
00003310,103.250000
00003061,103.330000
00003071,103.330000
00000341,103.330000
00010283,103.330000
00000274,103.410000
00003298,103.450000
00001134,103.640000
00022591,103.700000
00016930,103.820000
00001783,103.860000
00000450,103.920000
00000806,104.040000
00001766,104.070000
00000243,104.300000
00000480,104.470000
00001755,104.560000
00003037,104.560000
00003099,104.630000
00001748,104.740000
00000797,104.820000
00003197,104.830000
00004742,104.840000
00006102,105.130000
00023964,105.260000
00003246,105.370000
00015019,105.480000
00003030,105.800000
00001730,105.920000
00024984,105.990000
00005262,106.210000
00000815,106.220000
00001324,106.250000
00013890,106.250000
00014138,106.330000
00009455,106.330000
00001333,106.330000
00005259,106.330000
00005347,106.330000
00005177,106.330000
00005158,106.330000
00005394,106.330000
00005465,106.330000
00005437,106.330000
00004928,106.330000
00004929,106.330000
00004930,106.330000
00004931,106.330000
00004924,106.330000
00004925,106.330000
00004926,106.330000
00004938,106.330000
00004880,106.330000
00004881,106.330000
00004822,106.330000
00005075,106.330000
00004987,106.330000
00004991,106.330000
00004996,106.330000
00006105,106.330000
00006133,106.330000
00006135,106.330000
00006136,106.330000
00006139,106.330000
00006021,106.330000
00005981,106.330000
00006057,106.330000
00005918,106.330000
00005844,106.330000
00005845,106.330000
00005896,106.330000
00005756,106.330000
00006524,106.330000
00006383,106.330000
00006320,106.330000
00006249,106.330000
00006259,106.330000
00006284,106.330000
00006300,106.330000
00006504,106.330000
00006473,106.330000
